Date,Score
2019-01-01,-0.31521762224769106
2019-01-02,-0.2650964088722549
2019-01-03,-0.29566716662742376
2019-01-04,-0.31799110988124857
2019-01-05,-0.3420157108468994
2019-01-06,-0.3190009173031153
2019-01-07,-0.24827344573984578
2019-01-08,-0.15095594462957151
2019-01-09,-0.12836632279839996
2019-01-10,-0.18257524092226304
2019-01-11,-0.24041302530197872
2019-01-12,-0.33881306679832107
2019-01-13,-0.16463856869096888
2019-01-14,-0.20171447575670162
2019-01-15,-0.2301454697530539
2019-01-16,-0.25075383228094034
2019-01-17,-0.13963812710528978
2019-01-18,-0.06057642624549517
2019-01-19,-0.11894797364386364
2019-01-20,-0.06942549360076719
2019-01-21,-0.2846140942825653
2019-01-22,-0.2838744353884045
2019-01-23,-0.10765902803065776
2019-01-24,-0.2535319922833433
2019-01-25,-0.1311429813876565
2019-01-26,-0.1318217976796678
2019-01-27,-0.12924318395213938
2019-01-28,-0.31580234726822914
2019-01-29,-0.3378140895824375
2019-01-30,-0.1946671789968154
2019-01-31,-0.21483451006483756
2019-02-01,-0.09582086254646498
2019-02-02,-0.20186015798751974
2019-02-03,-0.1913976927566789
2019-02-04,-0.17461799910820408
2019-02-05,-0.15550689137011217
2019-02-06,-0.09509864926017131
2019-02-07,-0.205315182441889
2019-02-08,-0.22963826166678644
2019-02-09,-0.11859476048047801
2019-02-10,-0.3008312503972647
2019-02-11,-0.11125437369854474
2019-02-12,-0.23792795794576513
2019-02-13,-0.17867269685558995
2019-02-14,-0.1754874123717362
2019-02-15,-0.1724604294218632
2019-02-16,-0.17682260955098422
2019-02-17,-0.22607866261244963
2019-02-18,-0.20494775551779687
2019-02-19,-0.10520418069413644
2019-02-20,-0.058312809815528464
2019-02-21,-0.04435714871832225
2019-02-22,-0.09519547539180724
2019-02-23,-0.13921978734909
2019-02-24,-0.1520457099961797
2019-02-25,-0.06929004962251945
2019-02-26,-0.05385408883437439
2019-02-27,-0.03281147079959101
2019-02-28,-0.148577282223171
2019-03-01,-0.046943890230808465
2019-03-02,-0.14754188846848842
2019-03-03,-0.2297499071755495
2019-03-04,-0.062000678505159314
2019-03-05,-0.09100696802813739
2019-03-06,-0.090096108012416
2019-03-07,0.03703293011317271
2019-03-08,-0.016149919090458462
2019-03-09,-0.23653061157558175
2019-03-10,-0.1933939704894462
2019-03-11,-0.1561073376537024
2019-03-12,-0.17403760807138416
2019-03-13,-0.13698603696105063
